"","V1"
"inaug_WoodrowWilson_2_2",2
"inaug_WoodrowWilson_2_3",2
"inaug_WoodrowWilson_2_4",2
"inaug_WoodrowWilson_2_5",2
"inaug_WoodrowWilson_2_6",8
"inaug_WoodrowWilson_2_7",2
"inaug_WoodrowWilson_2_8",2
"inaug_WoodrowWilson_2_9",2
"inaug_WoodrowWilson_2_10",2
"inaug_WoodrowWilson_2_11",2
"inaug_WoodrowWilson_2_12",2
"inaug_WoodrowWilson_2_13",2
"inaug_WoodrowWilson_2_14",2
"inaug_WoodrowWilson_2_15",8
"inaug_WoodrowWilson_2_16",2
"inaug_WoodrowWilson_2_17",2
"inaug_WoodrowWilson_2_18",2
"inaug_WoodrowWilson_2_19",2
"inaug_WoodrowWilson_2_20",2
"inaug_WoodrowWilson_2_21",2
"inaug_WoodrowWilson_2_22",2
"inaug_WoodrowWilson_2_23",2
"inaug_WoodrowWilson_2_24",2
"inaug_WoodrowWilson_2_25",2
"inaug_WoodrowWilson_2_26",2
"inaug_WoodrowWilson_2_27",2
"inaug_WoodrowWilson_2_28",2
"inaug_WoodrowWilson_2_29",2
"inaug_WoodrowWilson_2_30",2
"inaug_WoodrowWilson_2_31",2
"inaug_WoodrowWilson_2_32",2
"inaug_WoodrowWilson_2_33",2
"inaug_WoodrowWilson_2_34",2
"inaug_WoodrowWilson_2_35",2
"inaug_WoodrowWilson_2_36",3
"inaug_WoodrowWilson_2_37",5
"inaug_WoodrowWilson_2_38",5
"inaug_WoodrowWilson_2_39",5
"inaug_WoodrowWilson_2_40",2
"inaug_WoodrowWilson_2_41",2
"inaug_WoodrowWilson_2_42",2
"inaug_WoodrowWilson_2_43",2
"inaug_WoodrowWilson_2_44",2
"inaug_WoodrowWilson_2_45",12
"inaug_WoodrowWilson_2_46",2
"inaug_WoodrowWilson_2_47",2
"inaug_WoodrowWilson_2_48",2
"inaug_WoodrowWilson_2_49",2
"inaug_WoodrowWilson_2_50",2
"inaug_WoodrowWilson_2_51",2
"inaug_WoodrowWilson_2_52",2
"inaug_WoodrowWilson_2_53",2
"inaug_WoodrowWilson_2_54",2
"inaug_WoodrowWilson_2_55",13
"inaug_WoodrowWilson_2_56",13
"inaug_WoodrowWilson_2_57",13
"inaug_WoodrowWilson_2_58",13
"inaug_WoodrowWilson_2_59",13
"inaug_WoodrowWilson_2_60",14
"inaug_WoodrowWilson_2_61",11
"inaug_WoodrowWilson_2_62",2
"inaug_WoodrowWilson_2_63",14
"inaug_WoodrowWilson_2_64",14
"inaug_WoodrowWilson_2_65",14
"inaug_WoodrowWilson_2_66",14
"inaug_FranklinDRoosevelt_1_2",14
"inaug_FranklinDRoosevelt_1_3",14
"inaug_FranklinDRoosevelt_1_4",14
"inaug_FranklinDRoosevelt_1_5",8
"inaug_FranklinDRoosevelt_1_6",10
"inaug_FranklinDRoosevelt_1_7",4
"inaug_FranklinDRoosevelt_1_8",2
"inaug_FranklinDRoosevelt_1_9",2
"inaug_FranklinDRoosevelt_1_10",2
"inaug_FranklinDRoosevelt_1_11",12
"inaug_FranklinDRoosevelt_1_12",11
"inaug_FranklinDRoosevelt_1_13",8
"inaug_FranklinDRoosevelt_1_14",2
"inaug_FranklinDRoosevelt_1_15",2
"inaug_FranklinDRoosevelt_1_16",6
"inaug_FranklinDRoosevelt_1_17",6
"inaug_FranklinDRoosevelt_1_18",6
"inaug_FranklinDRoosevelt_1_19",6
"inaug_FranklinDRoosevelt_1_20",3
"inaug_FranklinDRoosevelt_1_21",7
"inaug_FranklinDRoosevelt_1_22",7
"inaug_FranklinDRoosevelt_1_23",7
"inaug_FranklinDRoosevelt_1_24",14
"inaug_FranklinDRoosevelt_1_25",14
"inaug_FranklinDRoosevelt_1_26",14
"inaug_FranklinDRoosevelt_1_27",14
"inaug_FranklinDRoosevelt_1_28",14
"inaug_FranklinDRoosevelt_1_29",14
"inaug_FranklinDRoosevelt_1_30",14
"inaug_FranklinDRoosevelt_1_31",6
"inaug_FranklinDRoosevelt_1_32",14
"inaug_FranklinDRoosevelt_1_33",14
"inaug_FranklinDRoosevelt_1_34",14
"inaug_FranklinDRoosevelt_1_35",14
"inaug_FranklinDRoosevelt_1_36",14
"inaug_FranklinDRoosevelt_1_37",14
"inaug_FranklinDRoosevelt_1_38",14
"inaug_FranklinDRoosevelt_1_39",14
"inaug_FranklinDRoosevelt_1_40",14
"inaug_FranklinDRoosevelt_1_41",14
"inaug_FranklinDRoosevelt_1_42",14
"inaug_FranklinDRoosevelt_1_43",4
"inaug_FranklinDRoosevelt_1_44",14
"inaug_FranklinDRoosevelt_1_45",10
"inaug_FranklinDRoosevelt_1_46",14
"inaug_FranklinDRoosevelt_1_47",14
"inaug_FranklinDRoosevelt_1_48",14
"inaug_FranklinDRoosevelt_1_49",11
"inaug_FranklinDRoosevelt_1_50",11
"inaug_FranklinDRoosevelt_1_51",11
"inaug_FranklinDRoosevelt_1_52",11
"inaug_FranklinDRoosevelt_1_53",11
"inaug_FranklinDRoosevelt_1_54",11
"inaug_FranklinDRoosevelt_1_55",11
"inaug_FranklinDRoosevelt_1_56",15
"inaug_FranklinDRoosevelt_1_57",15
"inaug_FranklinDRoosevelt_1_58",15
"inaug_FranklinDRoosevelt_1_59",15
"inaug_FranklinDRoosevelt_1_60",15
"inaug_FranklinDRoosevelt_1_61",15
"inaug_FranklinDRoosevelt_1_62",15
"inaug_FranklinDRoosevelt_1_63",15
"inaug_FranklinDRoosevelt_1_64",15
"inaug_FranklinDRoosevelt_1_65",4
"inaug_FranklinDRoosevelt_1_66",2
"inaug_FranklinDRoosevelt_1_67",12
"inaug_FranklinDRoosevelt_1_68",4
"inaug_FranklinDRoosevelt_1_69",4
"inaug_FranklinDRoosevelt_1_70",4
"inaug_FranklinDRoosevelt_1_71",4
"inaug_FranklinDRoosevelt_1_72",4
"inaug_FranklinDRoosevelt_1_73",4
"inaug_FranklinDRoosevelt_1_74",4
"inaug_FranklinDRoosevelt_1_75",4
"inaug_FranklinDRoosevelt_1_76",4
"inaug_FranklinDRoosevelt_1_77",11
"inaug_FranklinDRoosevelt_1_78",15
"inaug_FranklinDRoosevelt_1_79",15
"inaug_FranklinDRoosevelt_1_80",15
"inaug_FranklinDRoosevelt_1_81",15
"inaug_FranklinDRoosevelt_1_82",15
"inaug_FranklinDRoosevelt_1_83",15
"inaug_FranklinDRoosevelt_1_84",15
"inaug_FranklinDRoosevelt_1_85",15
"inaug_FranklinDRoosevelt_1_86",15
"inaug_FranklinDRoosevelt_1_87",15
"inaug_FranklinDRoosevelt_1_88",13
"inaug_FranklinDRoosevelt_1_89",14
"inaug_FranklinDRoosevelt_1_90",4
"inaug_FranklinDRoosevelt_1_91",4
"inaug_FranklinDRoosevelt_1_92",4
"inaug_FranklinDRoosevelt_1_93",10
"inaug_FranklinDRoosevelt_1_94",10
"inaug_FranklinDRoosevelt_1_95",2
"inaug_FranklinDRoosevelt_1_96",4
"inaug_FranklinDRoosevelt_1_97",15
"inaug_FranklinDRoosevelt_1_98",4
"inaug_FranklinDRoosevelt_1_99",13
"inaug_FranklinDRoosevelt_3_2",3
"inaug_FranklinDRoosevelt_3_3",3
"inaug_FranklinDRoosevelt_3_4",8
"inaug_FranklinDRoosevelt_3_5",4
"inaug_FranklinDRoosevelt_3_6",8
"inaug_FranklinDRoosevelt_3_7",4
"inaug_FranklinDRoosevelt_3_8",2
"inaug_FranklinDRoosevelt_3_9",6
"inaug_FranklinDRoosevelt_3_10",6
"inaug_FranklinDRoosevelt_3_11",6
"inaug_FranklinDRoosevelt_3_12",6
"inaug_FranklinDRoosevelt_3_13",5
"inaug_FranklinDRoosevelt_3_14",11
"inaug_FranklinDRoosevelt_3_15",1
"inaug_FranklinDRoosevelt_3_16",6
"inaug_FranklinDRoosevelt_3_17",2
"inaug_FranklinDRoosevelt_3_18",2
"inaug_FranklinDRoosevelt_3_19",2
"inaug_FranklinDRoosevelt_3_20",15
"inaug_FranklinDRoosevelt_3_21",15
"inaug_FranklinDRoosevelt_3_22",15
"inaug_FranklinDRoosevelt_3_23",15
"inaug_FranklinDRoosevelt_3_24",6
"inaug_FranklinDRoosevelt_3_25",6
"inaug_FranklinDRoosevelt_3_26",6
"inaug_FranklinDRoosevelt_3_27",6
"inaug_FranklinDRoosevelt_3_28",6
"inaug_FranklinDRoosevelt_3_29",6
"inaug_FranklinDRoosevelt_3_30",6
"inaug_FranklinDRoosevelt_3_31",6
"inaug_FranklinDRoosevelt_3_32",6
"inaug_FranklinDRoosevelt_3_33",4
"inaug_FranklinDRoosevelt_3_34",4
"inaug_FranklinDRoosevelt_3_35",4
"inaug_FranklinDRoosevelt_3_36",4
"inaug_FranklinDRoosevelt_3_37",3
"inaug_FranklinDRoosevelt_3_38",2
"inaug_FranklinDRoosevelt_3_39",5
"inaug_FranklinDRoosevelt_3_40",6
"inaug_FranklinDRoosevelt_3_41",6
"inaug_FranklinDRoosevelt_3_42",8
"inaug_FranklinDRoosevelt_3_43",2
"inaug_FranklinDRoosevelt_3_44",7
"inaug_FranklinDRoosevelt_3_45",2
"inaug_FranklinDRoosevelt_3_46",5
"inaug_FranklinDRoosevelt_3_47",5
"inaug_FranklinDRoosevelt_3_48",8
"inaug_FranklinDRoosevelt_3_49",13
"inaug_FranklinDRoosevelt_3_50",1
"inaug_FranklinDRoosevelt_3_51",5
"inaug_FranklinDRoosevelt_3_52",5
"inaug_FranklinDRoosevelt_3_53",4
"inaug_FranklinDRoosevelt_3_54",4
"inaug_FranklinDRoosevelt_3_55",4
"inaug_FranklinDRoosevelt_3_56",4
"inaug_FranklinDRoosevelt_3_57",4
"inaug_FranklinDRoosevelt_3_58",4
"inaug_FranklinDRoosevelt_3_59",4
"inaug_FranklinDRoosevelt_3_60",4
"inaug_FranklinDRoosevelt_3_61",8
"inaug_FranklinDRoosevelt_3_62",8
"inaug_FranklinDRoosevelt_3_63",13
"inaug_FranklinDRoosevelt_3_64",3
"inaug_FranklinDRoosevelt_3_65",3
"inaug_FranklinDRoosevelt_3_67",3
"inaug_FranklinDRoosevelt_3_69",10
"inaug_FranklinDRoosevelt_3_70",15
"inaug_FranklinDRoosevelt_3_71",4
"inaug_FranklinDRoosevelt_3_72",1
"inaug_FranklinDRoosevelt_3_73",2
"inaug_FranklinDRoosevelt_3_74",1
"inaug_FranklinDRoosevelt_3_75",7
"inaug_FranklinDRoosevelt_4_2",3
"inaug_FranklinDRoosevelt_4_3",3
"inaug_FranklinDRoosevelt_4_4",3
"inaug_FranklinDRoosevelt_4_5",3
"inaug_FranklinDRoosevelt_4_6",3
"inaug_FranklinDRoosevelt_4_7",3
"inaug_FranklinDRoosevelt_4_8",3
"inaug_FranklinDRoosevelt_4_9",15
"inaug_FranklinDRoosevelt_4_10",15
"inaug_FranklinDRoosevelt_4_11",15
"inaug_FranklinDRoosevelt_4_12",15
"inaug_FranklinDRoosevelt_4_13",4
"inaug_FranklinDRoosevelt_4_14",6
"inaug_FranklinDRoosevelt_4_15",6
"inaug_FranklinDRoosevelt_4_16",15
"inaug_FranklinDRoosevelt_4_17",15
"inaug_FranklinDRoosevelt_4_18",15
"inaug_FranklinDRoosevelt_4_19",2
"inaug_FranklinDRoosevelt_4_20",8
"inaug_FranklinDRoosevelt_4_21",10
"inaug_FranklinDRoosevelt_4_22",12
"inaug_FranklinDRoosevelt_4_23",12
"inaug_FranklinDRoosevelt_4_24",12
"inaug_FranklinDRoosevelt_4_25",12
"inaug_FranklinDRoosevelt_4_26",12
"inaug_FranklinDRoosevelt_4_27",12
"inaug_FranklinDRoosevelt_4_28",12
"inaug_FranklinDRoosevelt_4_29",8
