"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","america","thing","today","nation","new","freedom","world","time","will","peopl","can","one","hope","face","nation"
"2","must","upon","presid","good","american","democraci","make","chang","work","let","govern","peopl","stand","hand","shall"
"3","generat","purpos","year","must","everi","human","economi","histori","togeth","now","help","peac","heart","task","may"
"4","come","part","place","know","centuri","great","still","common","live","made","better","way","call","effort","need"
"5","challeng","done","word","spirit","land","free","new","courag","children","turn","mani","respons","god","valu","meet"
"6","futur","interest","day","world","promis","right","war","much","lead","man","act","live","faith","great","congress"
"7","ideal","action","countri","like","less","life","long","endur","care","today","power","secur","old","use","duti"
"8","idea","life","thank","mind","never","know","age","speak","job","young","give","power","day","strength","measur"
"9","renew","polit","yet","seek","opportun","men","across","year","defens","citizen","ask","famili","friend","now","civil"
"10","end","principl","servic","work","say","seem","citizen","alway","school","yes","small","million","stori","public","bring"
"11","remain","spirit","first","without","america","women","choic","pass","health","rememb","take","even","see","noth","demand"
"12","fellow","equal","moment","leadership","strong","toward","look","well","peac","back","need","other","mean","vision","preserv"
"13","forth","thought","oath","person","enough","progress","prosper","begin","democraci","put","fail","communiti","uniti","high","balanc"
"14","born","forc","ago","sacrific","build","believ","reach","think","run","forward","home","nuclear","bless","restor","war"
"15","gift","set","last","someth","union","blow","began","advanc","bind","differ","tax","can","dream","lie","cours"
"16","journey","wish","celebr","now","problem","move","increas","two","technolog","build","state","weapon","unit","must","constitut"
"17","power","wrong","just","pledg","contin","follow","divis","caus","everyon","resolv","reduc","just","continu","men","hard"
"18","bold","shall","washington","respect","yet","alon","rais","independ","clear","arm","question","understand","love","given","within"
"19","light","present","taken","disciplin","perfect","limit","crisi","said","read","societi","feder","convict","protect","often","first"
"20","everi","essenti","honor","bodi","whose","prosper","industri","declar","reward","fellow","program","threaten","past","trust","take"
