"","V1"
"inaug_RonaldReagan_2_2",4
"inaug_RonaldReagan_2_3",6
"inaug_RonaldReagan_2_4",6
"inaug_RonaldReagan_2_5",6
"inaug_RonaldReagan_2_6",4
"inaug_RonaldReagan_2_7",10
"inaug_RonaldReagan_2_8",4
"inaug_RonaldReagan_2_9",4
"inaug_RonaldReagan_2_10",4
"inaug_RonaldReagan_2_11",4
"inaug_RonaldReagan_2_12",6
"inaug_RonaldReagan_2_13",1
"inaug_RonaldReagan_2_14",1
"inaug_RonaldReagan_2_15",4
"inaug_RonaldReagan_2_16",4
"inaug_RonaldReagan_2_17",7
"inaug_RonaldReagan_2_18",4
"inaug_RonaldReagan_2_19",4
"inaug_RonaldReagan_2_20",4
"inaug_RonaldReagan_2_21",4
"inaug_RonaldReagan_2_22",6
"inaug_RonaldReagan_2_23",7
"inaug_RonaldReagan_2_24",3
"inaug_RonaldReagan_2_25",3
"inaug_RonaldReagan_2_26",3
"inaug_RonaldReagan_2_27",1
"inaug_RonaldReagan_2_28",3
"inaug_RonaldReagan_2_29",5
"inaug_RonaldReagan_2_30",3
"inaug_RonaldReagan_2_31",10
"inaug_RonaldReagan_2_32",10
"inaug_RonaldReagan_2_33",9
"inaug_RonaldReagan_2_34",10
"inaug_RonaldReagan_2_35",10
"inaug_RonaldReagan_2_36",1
"inaug_RonaldReagan_2_37",1
"inaug_RonaldReagan_2_38",1
"inaug_RonaldReagan_2_39",1
"inaug_RonaldReagan_2_40",1
"inaug_RonaldReagan_2_41",6
"inaug_RonaldReagan_2_42",6
"inaug_RonaldReagan_2_43",6
"inaug_RonaldReagan_2_44",6
"inaug_RonaldReagan_2_45",6
"inaug_RonaldReagan_2_46",10
"inaug_RonaldReagan_2_47",6
"inaug_RonaldReagan_2_48",3
"inaug_RonaldReagan_2_49",8
"inaug_RonaldReagan_2_50",8
"inaug_RonaldReagan_2_51",8
"inaug_RonaldReagan_2_52",8
"inaug_RonaldReagan_2_53",5
"inaug_RonaldReagan_2_54",5
"inaug_RonaldReagan_2_55",1
"inaug_RonaldReagan_2_56",1
"inaug_RonaldReagan_2_57",1
"inaug_RonaldReagan_2_58",7
"inaug_RonaldReagan_2_59",7
"inaug_RonaldReagan_2_60",7
"inaug_RonaldReagan_2_61",9
"inaug_RonaldReagan_2_62",9
"inaug_RonaldReagan_2_63",9
"inaug_RonaldReagan_2_64",9
"inaug_RonaldReagan_2_65",7
"inaug_RonaldReagan_2_66",3
"inaug_RonaldReagan_2_67",9
"inaug_RonaldReagan_2_68",3
"inaug_RonaldReagan_2_69",3
"inaug_RonaldReagan_2_70",3
"inaug_RonaldReagan_2_71",7
"inaug_RonaldReagan_2_72",7
"inaug_RonaldReagan_2_73",7
"inaug_RonaldReagan_2_74",7
"inaug_RonaldReagan_2_75",7
"inaug_RonaldReagan_2_76",7
"inaug_RonaldReagan_2_77",3
"inaug_RonaldReagan_2_78",2
"inaug_RonaldReagan_2_79",2
"inaug_RonaldReagan_2_80",2
"inaug_RonaldReagan_2_81",8
"inaug_RonaldReagan_2_82",10
"inaug_RonaldReagan_2_83",10
"inaug_RonaldReagan_2_84",10
"inaug_RonaldReagan_2_85",10
"inaug_RonaldReagan_2_86",3
"inaug_RonaldReagan_2_87",3
"inaug_RonaldReagan_2_88",1
"inaug_RonaldReagan_2_89",1
"inaug_RonaldReagan_2_90",1
"inaug_RonaldReagan_2_91",1
"inaug_RonaldReagan_2_92",2
"inaug_RonaldReagan_2_93",1
"inaug_RonaldReagan_2_94",3
"inaug_RonaldReagan_2_95",3
"inaug_RonaldReagan_2_96",3
"inaug_RonaldReagan_2_97",3
"inaug_RonaldReagan_2_98",3
"inaug_RonaldReagan_2_99",3
"inaug_RonaldReagan_2_100",3
"inaug_RonaldReagan_2_101",3
"inaug_RonaldReagan_2_102",3
"inaug_RonaldReagan_2_103",3
"inaug_RonaldReagan_2_104",3
"inaug_RonaldReagan_2_105",3
"inaug_RonaldReagan_2_106",3
"inaug_RonaldReagan_2_107",3
"inaug_RonaldReagan_2_108",3
"inaug_RonaldReagan_2_109",3
"inaug_RonaldReagan_2_110",3
"inaug_RonaldReagan_2_111",1
"inaug_RonaldReagan_2_112",1
"inaug_RonaldReagan_2_113",1
"inaug_RonaldReagan_2_114",1
"inaug_RonaldReagan_2_115",1
"inaug_RonaldReagan_2_116",1
"inaug_RonaldReagan_2_117",7
