"","V1"
"inaug_FranklinDRoosevelt_1_2",5
"inaug_FranklinDRoosevelt_1_3",4
"inaug_FranklinDRoosevelt_1_4",4
"inaug_FranklinDRoosevelt_1_5",4
"inaug_FranklinDRoosevelt_1_6",3
"inaug_FranklinDRoosevelt_1_7",5
"inaug_FranklinDRoosevelt_1_8",8
"inaug_FranklinDRoosevelt_1_9",4
"inaug_FranklinDRoosevelt_1_10",4
"inaug_FranklinDRoosevelt_1_11",4
"inaug_FranklinDRoosevelt_1_12",3
"inaug_FranklinDRoosevelt_1_13",10
"inaug_FranklinDRoosevelt_1_14",6
"inaug_FranklinDRoosevelt_1_15",6
"inaug_FranklinDRoosevelt_1_16",6
"inaug_FranklinDRoosevelt_1_17",4
"inaug_FranklinDRoosevelt_1_18",4
"inaug_FranklinDRoosevelt_1_19",4
"inaug_FranklinDRoosevelt_1_20",9
"inaug_FranklinDRoosevelt_1_21",2
"inaug_FranklinDRoosevelt_1_22",8
"inaug_FranklinDRoosevelt_1_23",8
"inaug_FranklinDRoosevelt_1_24",8
"inaug_FranklinDRoosevelt_1_25",9
"inaug_FranklinDRoosevelt_1_26",9
"inaug_FranklinDRoosevelt_1_27",9
"inaug_FranklinDRoosevelt_1_28",9
"inaug_FranklinDRoosevelt_1_29",9
"inaug_FranklinDRoosevelt_1_30",5
"inaug_FranklinDRoosevelt_1_31",9
"inaug_FranklinDRoosevelt_1_32",9
"inaug_FranklinDRoosevelt_1_33",9
"inaug_FranklinDRoosevelt_1_34",9
"inaug_FranklinDRoosevelt_1_35",9
"inaug_FranklinDRoosevelt_1_36",9
"inaug_FranklinDRoosevelt_1_37",9
"inaug_FranklinDRoosevelt_1_38",9
"inaug_FranklinDRoosevelt_1_39",9
"inaug_FranklinDRoosevelt_1_40",9
"inaug_FranklinDRoosevelt_1_41",9
"inaug_FranklinDRoosevelt_1_42",8
"inaug_FranklinDRoosevelt_1_43",2
"inaug_FranklinDRoosevelt_1_44",10
"inaug_FranklinDRoosevelt_1_45",4
"inaug_FranklinDRoosevelt_1_46",6
"inaug_FranklinDRoosevelt_1_47",6
"inaug_FranklinDRoosevelt_1_48",6
"inaug_FranklinDRoosevelt_1_49",6
"inaug_FranklinDRoosevelt_1_50",6
"inaug_FranklinDRoosevelt_1_51",6
"inaug_FranklinDRoosevelt_1_52",6
"inaug_FranklinDRoosevelt_1_53",6
"inaug_FranklinDRoosevelt_1_54",6
"inaug_FranklinDRoosevelt_1_55",6
"inaug_FranklinDRoosevelt_1_56",6
"inaug_FranklinDRoosevelt_1_57",10
"inaug_FranklinDRoosevelt_1_58",1
"inaug_FranklinDRoosevelt_1_59",10
"inaug_FranklinDRoosevelt_1_60",10
"inaug_FranklinDRoosevelt_1_61",10
"inaug_FranklinDRoosevelt_1_62",10
"inaug_FranklinDRoosevelt_1_63",10
"inaug_FranklinDRoosevelt_1_64",10
"inaug_FranklinDRoosevelt_1_65",10
"inaug_FranklinDRoosevelt_1_66",10
"inaug_FranklinDRoosevelt_1_67",3
"inaug_FranklinDRoosevelt_1_68",10
"inaug_FranklinDRoosevelt_1_69",10
"inaug_FranklinDRoosevelt_1_70",10
"inaug_FranklinDRoosevelt_1_71",5
"inaug_FranklinDRoosevelt_1_72",5
"inaug_FranklinDRoosevelt_1_73",5
"inaug_FranklinDRoosevelt_1_74",5
"inaug_FranklinDRoosevelt_1_75",5
"inaug_FranklinDRoosevelt_1_76",5
"inaug_FranklinDRoosevelt_1_77",5
"inaug_FranklinDRoosevelt_1_78",1
"inaug_FranklinDRoosevelt_1_79",1
"inaug_FranklinDRoosevelt_1_80",1
"inaug_FranklinDRoosevelt_1_81",1
"inaug_FranklinDRoosevelt_1_82",1
"inaug_FranklinDRoosevelt_1_83",1
"inaug_FranklinDRoosevelt_1_84",1
"inaug_FranklinDRoosevelt_1_85",1
"inaug_FranklinDRoosevelt_1_86",1
"inaug_FranklinDRoosevelt_1_87",4
"inaug_FranklinDRoosevelt_1_88",9
"inaug_FranklinDRoosevelt_1_89",4
"inaug_FranklinDRoosevelt_1_90",10
"inaug_FranklinDRoosevelt_1_91",10
"inaug_FranklinDRoosevelt_1_92",10
"inaug_FranklinDRoosevelt_1_93",5
"inaug_FranklinDRoosevelt_1_94",5
"inaug_FranklinDRoosevelt_1_95",5
"inaug_FranklinDRoosevelt_1_96",4
"inaug_FranklinDRoosevelt_1_97",4
"inaug_FranklinDRoosevelt_1_98",1
"inaug_FranklinDRoosevelt_1_99",1
"inaug_BarackObama_1_2",7
"inaug_BarackObama_1_3",7
"inaug_BarackObama_1_4",7
"inaug_BarackObama_1_5",8
"inaug_BarackObama_1_6",8
"inaug_BarackObama_1_7",2
"inaug_BarackObama_1_8",2
"inaug_BarackObama_1_9",2
"inaug_BarackObama_1_10",10
"inaug_BarackObama_1_11",10
"inaug_BarackObama_1_12",3
"inaug_BarackObama_1_13",1
"inaug_BarackObama_1_14",3
"inaug_BarackObama_1_15",2
"inaug_BarackObama_1_16",7
"inaug_BarackObama_1_17",7
"inaug_BarackObama_1_18",7
"inaug_BarackObama_1_19",7
"inaug_BarackObama_1_20",2
"inaug_BarackObama_1_21",2
"inaug_BarackObama_1_22",4
"inaug_BarackObama_1_23",4
"inaug_BarackObama_1_24",4
"inaug_BarackObama_1_25",4
"inaug_BarackObama_1_26",4
"inaug_BarackObama_1_27",4
"inaug_BarackObama_1_28",7
"inaug_BarackObama_1_29",7
"inaug_BarackObama_1_30",7
"inaug_BarackObama_1_31",7
"inaug_BarackObama_1_32",7
"inaug_BarackObama_1_33",7
"inaug_BarackObama_1_34",7
"inaug_BarackObama_1_35",7
"inaug_BarackObama_1_36",7
"inaug_BarackObama_1_37",7
"inaug_BarackObama_1_38",7
"inaug_BarackObama_1_39",7
"inaug_BarackObama_1_40",7
"inaug_BarackObama_1_41",3
"inaug_BarackObama_1_42",8
"inaug_BarackObama_1_43",3
"inaug_BarackObama_1_44",3
"inaug_BarackObama_1_45",3
"inaug_BarackObama_1_46",3
"inaug_BarackObama_1_47",3
"inaug_BarackObama_1_48",3
"inaug_BarackObama_1_49",3
"inaug_BarackObama_1_50",3
"inaug_BarackObama_1_51",6
"inaug_BarackObama_1_52",7
"inaug_BarackObama_1_53",9
"inaug_BarackObama_1_54",9
"inaug_BarackObama_1_55",9
"inaug_BarackObama_1_56",6
"inaug_BarackObama_1_57",6
"inaug_BarackObama_1_58",6
"inaug_BarackObama_1_59",8
"inaug_BarackObama_1_60",8
"inaug_BarackObama_1_61",8
"inaug_BarackObama_1_62",8
"inaug_BarackObama_1_63",8
"inaug_BarackObama_1_64",8
"inaug_BarackObama_1_65",8
"inaug_BarackObama_1_66",8
"inaug_BarackObama_1_67",8
"inaug_BarackObama_1_68",8
"inaug_BarackObama_1_69",8
"inaug_BarackObama_1_70",8
"inaug_BarackObama_1_71",8
"inaug_BarackObama_1_72",8
"inaug_BarackObama_1_73",3
"inaug_BarackObama_1_74",3
"inaug_BarackObama_1_75",3
"inaug_BarackObama_1_76",3
"inaug_BarackObama_1_77",3
"inaug_BarackObama_1_78",3
"inaug_BarackObama_1_79",1
"inaug_BarackObama_1_80",3
