"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","world","need","peopl","today","america","time","govern","hope","will","nation"
"2","freedom","respons","one","presid","must","centuri","can","heart","new","american"
"3","free","way","now","histori","chang","great","make","day","work","let"
"4","human","children","earth","countri","generat","american","power","hand","everi","citizen"
"5","know","communiti","just","place","much","differ","live","democraci","togeth","promis"
"6","right","live","million","stori","renew","long","better","mean","challeng","land"
"7","peac","young","reduc","end","help","life","futur","god","come","faith"
"8","union","famili","weapon","begin","courag","war","year","dream","friend","build"
"9","progress","ask","secur","continu","congress","caus","give","good","spirit","economi"
"10","man","thing","nuclear","still","journey","dont","common","like","seem","resolv"
"11","yet","civil","believ","thank","ideal","justic","less","part","bring","valu"
"12","men","care","pledg","first","purpos","revolut","problem","old","home","speak"
"13","preserv","other","put","mani","never","unit","beyond","see","tomorrow","polit"
"14","made","take","remain","ago","ever","choic","strong","pass","stand","will"
"15","women","love","increas","word","demand","school","tax","great","reward","societi"
"16","move","serv","number","stand","clear","bless","must","call","lead","turn"
"17","toward","commit","limit","celebr","forc","anoth","opportun","made","light","voic"
"18","greatest","small","soviet","rais","thing","system","well","say","moment","rich"
"19","liberti","find","face","across","meet","jefferson","think","rememb","vision","reform"
"20","prosper","hard","turn","back","idea","yes","budget","today","possibl","alway"
