"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","year","stand","great","peopl","shall","nation","new","thing","know","upon"
"2","freedom","togeth","day","life","will","live","america","spirit","democraci","nation"
"3","seem","wish","task","thought","peac","must","life","world","human","power"
"4","america","purpos","unit","polit","purpos","measur","men","vital","men","equal"
"5","word","right","duti","interest","today","mind","just","time","american","free"
"6","learn","drawn","let","set","war","hope","far","mani","true","influenc"
"7","faith","arm","high","principl","speak","spirit","came","make","alon","secur"
"8","preserv","part","come","industri","achiev","bodi","never","can","full","govern"
"9","first","wrong","now","action","servic","someth","citizen","done","perfect","counsel"
"10","sacr","can","god","essenti","dedic","like","contin","still","believ","see"
"11","old","way","desir","histori","taken","person","state","may","form","matter"
"12","destini","conscious","privat","current","disrupt","need","gain","opportun","govern","despit"
"13","simpl","divis","heart","world","real","cloth","land","fear","future—","imposs"
"14","speak","noth","stand","process","presenc","inform","irresist","life","freeli","sea"
"15","inaugur","firm","becom","hous","work","part","greatest","principl","seen","privileg"
"16","peril","even","build","sought","strive","yet","ideal","remain","women","consent"
"17","fire","rememb","realiz","way","action","understand","common","present","manner","use"
"18","doubt","alik","turn","understand","throughout","time","creat","whole","—","limit"
"19","deepli","clear","blaze","liber","perform","forth","republ","alway","yet","thought"
"20","later","readi","uniti","less","honor","within","written","profess","alter","domest"
